member_id,full_name,first_name,last_name,membership_type,membership_from,party
3898,Lord Aberdare,Aberdare,,,Excepted Hereditary,Crossbench
631,Baroness Adams of Craigielea,Adams,of Craigielea,,Life peer,Labour
3453,Lord Addington,Addington,,,Excepted Hereditary,Liberal Democrat
2175,Lord Adebowale,Adebowale,,,Life peer,Crossbench
3743,Lord Adonis,Adonis,,,Life peer,Labour
4689,Lord Agnew of Oulton,Agnew,of Oulton,,Life peer,Conservative
4210,Lord Ahmad of Wimbledon,Ahmad,of Wimbledon,,Life peer,Conservative
3478,Lord Alderdice,Alderdice,,,Life peer,Liberal Democrat
5394,Baroness Alexander of Cleveden,Alexander,of Cleveden,,Life peer,Labour
397,Lord Allan of Hallam,Allan,of Hallam,,Life peer,Non-affiliated
4304,Lord Allen of Kensington,Allen,of Kensington,,Life peer,Labour
3482,Lord Alli,Alli,,,Life peer,Labour
4533,Baroness Altmann,Altmann,,,Life peer,Non-affiliated
738,Lord Alton of Liverpool,Alton,of Liverpool,,Life peer,Crossbench
4921,Lord Altrincham,Altrincham,,,Excepted Hereditary,Conservative
3477,Baroness Amos,Amos,,,Life peer,Labour
4705,Lord Anderson of Ipswich,Anderson,of Ipswich,,Life peer,Crossbench
4508,Baroness Anderson of Stoke-on-Trent,Anderson,of Stoke-on-Trent,,Life peer,Labour
568,Lord Anderson of Swansea,Anderson,of Swansea,,Life peer,Labour
2534,Baroness Andrews,Andrews,,,Life peer,Labour
3474,Baroness Anelay of St Johns,Anelay,of St Johns,,Life peer,Conservative
56,Lord Arbuthnot of Edrom,Arbuthnot,of Edrom,,Life peer,Conservative
4150,Baroness Armstrong of Hill Top,Armstrong,of Hill Top,,Life peer,Labour
3433,The Earl of Arran,The,Earl of Arran,,Excepted Hereditary,Conservative
4957,Lord Ashcombe,Ashcombe,,,Excepted Hereditary,Conservative
4247,Lord Ashton of Hyde,Ashton,of Hyde,,Excepted Hereditary,Non-affiliated
2500,Baroness Ashton of Upholland,Ashton,of Upholland,,Life peer,Labour
3429,Viscount Astor,Astor,,,Excepted Hereditary,Conservative
3425,Earl Attlee,Attlee,,,Excepted Hereditary,Conservative
1511,Lord Austin of Dudley,Austin,of Dudley,,Life peer,Non-affiliated
3451,Lord Bach,Bach,,,Life peer,Labour
4987,Lord Bailey of Paddington,Bailey,of Paddington,,Life peer,Conservative
1028,Lord Baker of Dorking,Baker,of Dorking,,Life peer,Conservative
4223,Baroness Bakewell,Bakewell,,,Life peer,Labour
4285,Baroness Bakewell of Hardington Mandeville,Bakewell,of Hardington Mandeville,,Life peer,Liberal Democrat
4302,Lord Balfe,Balfe,,,Life peer,Conservative
5014,Lord Banner,Banner,,,Life peer,Conservative
5377,Lord Barber of Ainsdale,Barber,of Ainsdale,,Life peer,Labour
2501,Baroness Barker,Barker,,,Life peer,Liberal Democrat
4703,Baroness Barran,Barran,,,Life peer,Conservative
5410,Lord Barrow,Barrow,,,Life peer,Crossbench
3504,Lord Bassam of Brighton,Bassam,of Brighton,,Life peer,Labour
1091,Lord Bates,Bates,,,Life peer,Conservative
5367,Baroness Batters,Batters,,,Life peer,Crossbench
1438,Lord Beamish,Beamish,,,Life peer,Labour
328,Baroness Beckett,Beckett,,,Life peer,Labour
513,Lord Beith,Beith,,,Life peer,Liberal Democrat
4941,Lord Bellamy,Bellamy,,,Life peer,Conservative
1441,Lord Bellingham,Bellingham,,,Life peer,Conservative
4167,Baroness Benjamin,Benjamin,,,Life peer,Liberal Democrat
4719,Baroness Bennett of Manor Castle,Bennett,of Manor Castle,,Life peer,Green Party
1547,Lord Benyon,Benyon,,,Life peer,Crossbench
4036,Baroness Berger,Berger,,,Life peer,Labour
3526,Lord Berkeley,Berkeley,,,Life peer,Labour
4276,Lord Berkeley of Knighton,Berkeley,of Knighton,,Life peer,Crossbench
4218,Baroness Berridge,Berridge,,,Life peer,Conservative
4577,Baroness Bertin,Bertin,,,Life peer,Conservative
3605,Lord Best,Best,,,Life peer,Crossbench
4708,Lord Bethell,Bethell,,,Excepted Hereditary,Conservative
3832,Lord Bew,Bew,,,Life peer,Crossbench
3863,Lord Bichard,Bichard,,,Life peer,Crossbench
5380,Lord Biggar,Biggar,,,Life peer,Conservative
3809,Lord Bilimoria,Bilimoria,,,Life peer,Crossbench
2538,Baroness Billingham,Billingham,,,Life peer,Labour
4564,Lord Bird,Bird,,,Life peer,Crossbench
2533,Lord Birt,Birt,,,Life peer,Crossbench
4171,Lord Black of Brentwood,Black,of Brentwood,,Life peer,Conservative
4915,Baroness Black of Strome,Black,of Strome,,Life peer,Crossbench
3561,Baroness Blackstone,Blackstone,,,Life peer,Labour
3550,Lord Blackwell,Blackwell,,,Life peer,Conservative
4019,Baroness Blackwood of North Oxford,Blackwood,of North Oxford,,Life peer,Conservative
4912,Baroness Blake of Leeds,Blake,of Leeds,,Life peer,Labour
497,Lord Blencathra,Blencathra,,,Life peer,Conservative
4582,Baroness Bloomfield of Hinton Waldrist,Bloomfield,of Hinton Waldrist,,Life peer,Conservative
4724,Baroness Blower,Blower,,,Life peer,Labour
395,Lord Blunkett,Blunkett,,,Life peer,Labour
147,Lord Boateng,Boateng,,,Life peer,Labour
3699,Baroness Bonham-Carter of Yarnbury,Bonham-Carter,of Yarnbury,,Life peer,Liberal Democrat
5016,Lord Booth,Booth,,,Life peer,Conservative
5368,Lord Booth-Smith,Booth-Smith,,,Life peer,Conservative
4281,Lord Borwick,Borwick,,,Excepted Hereditary,Conservative
4884,Lord Botham,Botham,,,Life peer,Crossbench
106,Baroness Bottomley of Nettlestone,Bottomley,of Nettlestone,,Life peer,Conservative
4282,Lord Bourne of Aberystwyth,Bourne,of Aberystwyth,,Life peer,Conservative
5385,Baroness Bousted,Bousted,,,Life peer,Labour
4562,Baroness Bowles of Berkhamsted,Bowles,of Berkhamsted,,Life peer,Liberal Democrat
3496,Lord Bowness,Bowness,,,Life peer,Crossbench
4704,Baroness Boycott,Boycott,,,Life peer,Crossbench
452,Lord Bradley,Bradley,,,Life peer,Labour
2483,Lord Bradshaw,Bradshaw,,,Life peer,Liberal Democrat
4339,Baroness Brady,Brady,,,Life peer,Conservative
