member_id,full_name,first_name,last_name,constituency_name,party
172,Ms Diane Abbott,Diane,Abbott,Hackney North and Stoke Newington,Independent
5131,Jack Abbott,Jack,Abbott,Ipswich,Labour (Co-op)
4212,Debbie Abrahams,Debbie,Abrahams,Oldham East and Saddleworth,Labour
5120,Shockat Adam,Shockat,Adam,Leicester South,Independent
5213,Dr Zubir Ahmed,Zubir,Ahmed,Glasgow South West,Labour
5112,Luke Akehurst,Luke,Akehurst,North Durham,Labour
5097,Mr Bayo Alaba,Bayo,Alaba,Southend East and Rochford,Labour
5172,Dan Aldridge,Dan,Aldridge,Weston-super-Mare,Labour
632,Mr Douglas Alexander,Douglas,Alexander,Lothian East,Labour (Co-op)
4038,Heidi Alexander,Heidi,Alexander,Swindon South,Labour
5312,Sadik Al-Hassan,Sadik,Al-Hassan,North Somerset,Labour
4138,Rushanara Ali,Rushanara,Ali,Bethnal Green and Stepney,Labour
4747,Tahir Ali,Tahir,Ali,Birmingham Hall Green and Moseley,Labour
4573,Dr Rosena Allin-Khan,Rosena,Allin-Khan,Tooting,Labour
5356,Jim Allister,Jim,Allister,North Antrim,Traditional Unionist Voice
5250,Gideon Amos,Gideon,Amos,Taunton and Wellington,Liberal Democrat
5193,Callum Anderson,Callum,Anderson,Buckingham and Bletchley,Labour
4788,Fleur Anderson,Fleur,Anderson,Putney,Labour
4743,Lee Anderson,Lee,Anderson,Ashfield,Reform UK
4742,Stuart Anderson,Stuart,Anderson,South Shropshire,Conservative
4032,Stuart Andrew,Stuart,Andrew,Daventry,Conservative
4623,Tonia Antoniazzi,Tonia,Antoniazzi,Gower,Labour
5164,Steff Aquarone,Steff,Aquarone,North Norfolk,Liberal Democrat
4362,Edward Argar,Edward,Argar,Melton and Syston,Conservative
5212,Dr Scott Arthur,Scott,Arthur,Edinburgh South West,Labour
5156,Jess Asato,Jess,Asato,Lowestoft,Labour
5211,James Asser,James,Asser,West Ham and Beckton,Labour
5227,Jas Athwal,Jas,Athwal,Ilford South,Labour
4399,Victoria Atkins,Victoria,Atkins,Louth and Horncastle,Conservative
5143,Catherine Atkinson,Catherine,Atkinson,Derby North,Labour
5028,Lewis Atkinson,Lewis,Atkinson,Sunderland Central,Labour
5086,Josh Babarinde,Josh,Babarinde,Eastbourne,Liberal Democrat
4798,Gareth Bacon,Gareth,Bacon,Orpington,Conservative
4597,Mrs Kemi Badenoch,Kemi,Badenoch,North West Essex,Conservative
5054,Mr Calvin Bailey,Calvin,Bailey,Leyton and Wanstead,Labour
5337,Olivia Bailey,Olivia,Bailey,Reading West and Mid Berkshire,Labour
5092,David Baines,David,Baines,St Helens North,Labour
5173,Alex Baker,Alex,Baker,Aldershot,Labour
5253,Richard Baker,Richard,Baker,Glenrothes and Mid Fife,Labour
4107,Dame Harriett Baldwin,Harriett,Baldwin,West Worcestershire,Conservative
5238,Alex Ballinger,Alex,Ballinger,Halesowen,Labour
5048,Antonia Bance,Antonia,Bance,Tipton and Wednesbury,Labour
4095,Steve Barclay,Steve,Barclay,North East Cambridgeshire,Conservative
4828,Paula Barker,Paula,Barker,Liverpool Wavertree,Labour
5315,Lee Barron,Lee,Barron,Corby and East Northamptonshire,Labour
5175,Mr Alex Barros-Curtis,Alex,Barros-Curtis,Cardiff West,Labour
5063,Johanna Baxter,Johanna,Baxter,Paisley and Renfrewshire South,Labour
5339,Danny Beales,Danny,Beales,Uxbridge and South Ruislip,Labour
5232,Lorraine Beavers,Lorraine,Beavers,Blackpool North and Fleetwood,Labour
5330,Mr Peter Bedford,Peter,Bedford,Mid Leicestershire,Conservative
4697,Órfhlaith Begley,Órfhlaith,Begley,West Tyrone,Sinn Féin
4790,Apsana Begum,Apsana,Begum,Poplar and Limehouse,Independent
5069,Torsten Bell,Torsten,Bell,Swansea West,Labour
413,Hilary Benn,Hilary,Benn,Leeds South,Labour
5283,Alison Bennett,Alison,Bennett,Mid Sussex,Liberal Democrat
5314,Siân Berry,Siân,Berry,Brighton Pavilion,Green Party
394,Mr Clive Betts,Clive,Betts,Sheffield South East,Labour
4818,Saqib Bhatti,Saqib,Bhatti,Meriden and Solihull East,Conservative
5123,Ms Polly Billington,Polly,Billington,East Thanet,Labour
5323,Matt Bishop,Matt,Bishop,Forest of Dean,Labour
4005,Bob Blackman,Bob,Blackman,Harrow East,Conservative
4357,Kirsty Blackman,Kirsty,Blackman,Aberdeen North,Scottish National Party
4864,Olivia Blake,Olivia,Blake,Sheffield Hallam,Labour
5257,Rachel Blake,Rachel,Blake,Cities of London and Westminster,Labour (Co-op)
5109,Chris Bloore,Chris,Bloore,Redditch,Labour
5084,Mrs Elsie Blundell,Elsie,Blundell,Heywood and Middleton North,Labour
5051,Kevin Bonavia,Kevin,Bonavia,Stevenage,Labour
5355,Sarah Bool,Sarah,Bool,South Northamptonshire,Conservative
5236,Jade Botterill,Jade,Botterill,Ossett and Denby Dale,Labour
4601,Andrew Bowie,Andrew,Bowie,West Aberdeenshire and Kincardine,Conservative
5152,Mrs Sureena Brackenridge,Sureena,Brackenridge,Wolverhampton North East,Labour
4110,Dame Karen Bradley,Karen,Bradley,Staffordshire Moorlands,Conservative
5241,Aphra Brandreth,Aphra,Brandreth,Chester South and Eddisbury,Conservative
5045,Mr Jonathan Brash,Jonathan,Brash,Hartlepool,Labour
4475,Suella Braverman,Suella,Braverman,Fareham and Waterlooville,Conservative
5263,Alex Brewer,Alex,Brewer,North East Hampshire,Liberal Democrat
5128,Phil Brickell,Phil,Brickell,Bolton West,Labour
5335,Jess Brown-Fuller,Jess,Brown-Fuller,Chichester,Liberal Democrat
1446,Chris Bryant,Chris,Bryant,Rhondda and Ogmore,Labour
5171,Julia Buckley,Julia,Buckley,Shrewsbury,Labour
4613,Alex Burghart,Alex,Burghart,Brentwood and Ongar,Conservative
4493,Richard Burgon,Richard,Burgon,Leeds East,Labour
5137,Maureen Burke,Maureen,Burke,Glasgow North East,Labour
5106,David Burton-Sampson,David,Burton-Sampson,Southend West and Leigh,Labour
1489,Dawn Butler,Dawn,Butler,Brent East,Labour
4831,Ian Byrne,Ian,Byrne,Liverpool West Derby,Labour
1171,Liam Byrne,Liam,Byrne,Birmingham Hodge Hill and Solihull North,Labour
4389,Ruth Cadbury,Ruth,Cadbury,Brentford and Isleworth,Labour
5180,Nesil Caliskan,Nesil,Caliskan,Barking,Labour
529,Sir Alan Campbell,Alan,Campbell,Tynemouth,Labour
1409,Mr Gregory Campbell,Gregory,Campbell,East Londonderry,Democratic Unionist Party
5145,Irene Campbell,Irene,Campbell,North Ayrshire and Arran,Labour
5058,Juliet Campbell,Juliet,Campbell,Broxtowe,Labour
5124,Markus Campbell-Savours,Markus,Campbell-Savours,Penrith and Solway,Labour
5182,Charlotte Cane,Charlotte,Cane,Ely and East Cambridgeshire,Liberal Democrat
4651,Dan Carden,Dan,Carden,Liverpool Walton,Labour
5308,Sam Carling,Sam,Carling,North West Cambridgeshire,Labour
1442,Mr Alistair Carmichael,Alistair,Carmichael,Orkney and Shetland,Liberal Democrat
5235,Al Carns,Al,Carns,Birmingham Selly Oak,Labour
4519,James Cartlidge,James,Cartlidge,South Suffolk,Conservative
5284,David Chadwick,David,Chadwick,"Brecon, Radnor and Cwm Tawe",Liberal Democrat
4765,Wendy Chamberlain,Wendy,Chamberlain,North East Fife,Liberal Democrat
5304,Dr Danny Chambers,Danny,Chambers,Winchester,Liberal Democrat
4267,Sarah Champion,Sarah,Champion,Rotherham,Labour
4610,Bambos Charalambous,Bambos,Charalambous,Southgate and Wood Green,Labour
5199,Mr Luke Charters,Luke,Charters,York Outer,Labour
242,Sir Christopher Chope,Christopher,Chope,Christchurch,Conservative
5249,Ellie Chowns,Ellie,Chowns,North Herefordshire,Green Party
4822,Feryal Clark,Feryal,Clark,Enfield North,Labour
4366,Sir James Cleverly,James,Cleverly,Braintree,Conservative
249,Sir Geoffrey Clifton-Brown,Geoffrey,Clifton-Brown,North Cotswolds,Conservative
5050,Lewis Cocking,Lewis,Cocking,Broxbourne,Conservative
5198,Chris Coghlan,Chris,Coghlan,Dorking and Horley,Liberal Democrat
5344,Ben Coleman,Ben,Coleman,Chelsea and Fulham,Labour
5077,Jacob Collier,Jacob,Collier,Burton and Uttoxeter,Labour
5225,Lizzi Collinge,Lizzi,Collinge,Morecambe and Lunesdale,Labour
5087,Tom Collins,Tom,Collins,Worcester,Labour
5201,Victoria Collins,Victoria,Collins,Harpenden and Berkhamsted,Liberal Democrat
5132,Liam Conlon,Liam,Conlon,Beckenham and Penge,Labour
5088,Sarah Coombes,Sarah,Coombes,West Bromwich,Labour
5195,Andrew Cooper,Andrew,Cooper,Mid Cheshire,Labour
5307,Dr Beccy Cooper,Beccy,Cooper,Worthing West,Labour
4769,Daisy Cooper,Daisy,Cooper,St Albans,Liberal Democrat
5358,John Cooper,John,Cooper,Dumfries and Galloway,Conservative
420,Yvette Cooper,Yvette,Cooper,"Pontefract, Castleford and Knottingley",Labour
185,Jeremy Corbyn,Jeremy,Corbyn,Islington North,Independent
4439,Alberto Costa,Alberto,Costa,South Leicestershire,Conservative
5075,Deirdre Costigan,Deirdre,Costigan,Ealing Southall,Labour
4806,Claire Coutinho,Claire,Coutinho,East Surrey,Conservative
1508,Sir Geoffrey Cox,Geoffrey,Cox,Torridge and Tavistock,Conservative
5042,Pam Cox,Pam,Cox,Colchester,Labour
4368,Neil Coyle,Neil,Coyle,Bermondsey and Old Southwark,Labour
5056,Jen Craft,Jen,Craft,Thurrock,Labour
1579,Mary Creagh,Mary,Creagh,Coventry East,Labour
4088,Ms Stella Creasy,Stella,Creasy,Walthamstow,Labour (Co-op)
5246,Torcuil Crichton,Torcuil,Crichton,Na h-Eileanan an Iar,Labour
5311,Harriet Cross,Harriet,Cross,Gordon and Buchan,Conservative
5261,Pat Cullen,Pat,Cullen,Fermanagh and South Tyrone,Sinn Féin
4391,Judith Cummins,Judith,Cummins,Bradford South,Labour
5118,Chris Curtis,Chris,Curtis,Milton Keynes North,Labour
4698,Janet Daby,Janet,Daby,Lewisham East,Labour
4056,Sir Nicholas Dakin,Nicholas,Dakin,Scunthorpe,Labour
4981,Ashley Dalton,Ashley,Dalton,West Lancashire,Labour
5191,Adam Dance,Adam,Dance,Yeovil,Liberal Democrat
5066,Steve Darling,Steve,Darling,Torbay,Liberal Democrat
